"","P","ll","copula","params1","params2"
"83","8","172.269812649106","huslerReissCopula","2.83296597806407",NA
"84","8","196.346602516383","tevCopula","0.941231326036766","1.95345589774863"
"85","8","218.058678332403","tCopula","0.91637674407907","9.61776359026766"
"86","8","220.786551521055","rot gumbelCopula","3.72640226352809",NA
"87","8","219.56940061459","rot galambosCopula","3.022500584649",NA
"88","8","206.767790299018","rot huslerReissCopula","3.41333910182646",NA
"89","9","0","Independent",NA,NA
"90","9","229.103946441508","normalCopula","0.900020857137073",NA
"91","9","225.699100331136","claytonCopula","8.46045221255757",NA
"92","9","178.879604401421","gumbelCopula","2.92841570468904",NA
"93","9","174.620068661308","galambosCopula","2.16614760908488",NA
"94","9","157.774999380748","huslerReissCopula","2.35176828815676",NA
"95","9","191.711573845264","tevCopula","0.913298955929827","1.25893887582121"
"96","9","233.355892574317","tCopula","0.909483704559901","6.84570563241301"
"97","9","264.907710073195","rot gumbelCopula","3.93390527659175",NA
"98","9","263.444707133532","rot galambosCopula","3.23228704289458",NA
"99","9","248.428383582274","rot huslerReissCopula","3.65699571330259",NA
"100","10","0","Independent",NA,NA
"101","10","187.433057417144","normalCopula","0.865782144578439",NA
"102","10","-5.94883539003149","claytonCopula","6.59100355883039",NA
"103","10","166.718268711292","gumbelCopula","2.76127859508688",NA
"104","10","164.013878749792","galambosCopula","2.02711855481429",NA
"105","10","150.495396148321","huslerReissCopula","2.31473315816586",NA
"106","10","170.446216705615","tevCopula","0.917093846283314","2.26557655406425"
"107","10","187.43478698175","tCopula","0.866001844690475","378.575999203139"
"108","10","171.548695817392","rot gumbelCopula","2.79760949450899",NA
"109","10","169.444829222871","rot galambosCopula","2.06536704714583",NA
"110","10","158.123851273622","rot huslerReissCopula","2.40408399857419",NA
"111","11","0","Independent",NA,NA
"112","11","237.346480521354","normalCopula","0.904731833654563",NA
"113","11","149.611353975274","claytonCopula","7.41527434246863",NA
"114","11","204.337364696665","gumbelCopula","3.15136151871549",NA
"115","11","201.470012727788","galambosCopula","2.41431105584523",NA
"116","11","187.055404002511","huslerReissCopula","2.6932323980911",NA
"117","11","209.722622621539","tevCopula","0.934364472178867","2.00516765912446"
"118","11","238.528575802042","tCopula","0.907439863514428","16.8082822285356"
"119","11","242.641072063471","rot gumbelCopula","3.56785340659663",NA
"120","11","241.565512675588","rot galambosCopula","2.8587753034888",NA
"121","11","231.749840003675","rot huslerReissCopula","3.33856918571661",NA
"122","12","0","Independent",NA,NA
"123","12","138.679165555588","normalCopula","0.799463810446988",NA
"124","12","16.6073878446606","claytonCopula","3.94105973894031",NA
"125","12","123.098911298261","gumbelCopula","2.26255849949049",NA
"126","12","121.415418080247","galambosCopula","1.53682182040901",NA
"127","12","114.052920642698","huslerReissCopula","1.91284458297626",NA
"128","12","123.967156451362","tevCopula","0.891192421979082","3.16248162080046"
"129","12","138.679042688411","tCopula","0.799463472887797","75167.7505068204"
"130","12","121.805219816058","rot gumbelCopula","2.22580033497732",NA
"131","12","122.26422795224","rot galambosCopula","1.50639729601032",NA
"132","12","119.71104620015","rot huslerReissCopula","1.97067895060035",NA
