"","P","ll","copula","params1","params2"
"91","3","42.6404515151806","claytonCopula","2.11369880310851",NA
"92","3","127.976082951279","gumbelCopula","1.90416341373552",NA
"93","3","129.116350560122","galambosCopula","1.18739270622178",NA
"94","3","129.498281336097","huslerReissCopula","1.67327974210445",NA
"95","3","129.604508094422","tevCopula","0.969132731188262","21.9289550219604"
"96","3","132.443684123786","tCopula","0.705433306649839","439.273607186116"
"97","3","108.274576898512","rot gumbelCopula","1.81451583292867",NA
"98","3","108.092728556182","rot galambosCopula","1.08387774698254",NA
"99","3","106.822358497015","rot huslerReissCopula","1.51761964895228",NA
"100","4","0","Independent",NA,NA
"101","4","128.284116770033","normalCopula","0.726278823565598",NA
"102","4","27.1774603429368","claytonCopula","2.32737391560839",NA
"103","4","133.025425677991","gumbelCopula","2.03088562952855",NA
"104","4","134.118262813628","galambosCopula","1.32073140210289",NA
"105","4","134.608770168799","huslerReissCopula","1.83949451559381",NA
"106","4","134.73180324548","tevCopula","0.975601010207849","23.1286925664708"
"107","4","128.313470993851","tCopula","0.726851048702463","82.3011899113265"
"108","4","102.580163653937","rot gumbelCopula","1.87362270855592",NA
"109","4","101.049250702973","rot galambosCopula","1.13836972173616",NA
"110","4","97.1500072359795","rot huslerReissCopula","1.53599650213529",NA
"111","5","0","Independent",NA,NA
"112","5","146.718411741051","normalCopula","0.73783413577379",NA
"113","5","96.9979842096286","claytonCopula","2.23510009391797",NA
"114","5","126.223884959835","gumbelCopula","1.91390896762534",NA
"115","5","128.31088001528","galambosCopula","1.20290416760901",NA
"116","5","129.604683375031","huslerReissCopula","1.70433792346101",NA
"117","5","129.538710448168","tevCopula","0.978684035564763","31.1609548342697"
"118","5","146.706018481717","tCopula","0.737792383108117","2555.88667937095"
"119","5","133.696893621727","rot gumbelCopula","1.95199546242263",NA
"120","5","136.288063765658","rot galambosCopula","1.24375026279935",NA
"121","5","139.091729539006","rot huslerReissCopula","1.77168088921041",NA
"122","6","0","Independent",NA,NA
"123","6","168.941562429048","normalCopula","0.76303747517723",NA
"124","6","47.4868273974412","claytonCopula","3.07862256365834",NA
"125","6","152.773575030274","gumbelCopula","2.09312355259771",NA
"126","6","152.389400727309","galambosCopula","1.36224894519453",NA
"127","6","150.165742316078","huslerReissCopula","1.81480642476571",NA
"128","6","152.079454873394","tevCopula","0.930679239290535","7.20676904905824"
"129","6","168.992117656982","tCopula","0.764144311690761","89.9889812644885"
"130","6","149.067617208568","rot gumbelCopula","2.09605133045488",NA
"131","6","145.397560522617","rot galambosCopula","1.36164053220259",NA
"132","6","135.306788470565","rot huslerReissCopula","1.70692377604222",NA
"133","7","0","Independent",NA,NA
"134","7","77.6166128390936","normalCopula","0.569916116528847",NA
"135","7","21.884834197864","claytonCopula","1.32419985175853",NA
"136","7","82.5944055678106","gumbelCopula","1.61385680897191",NA
"137","7","82.524765531857","galambosCopula","0.894687710847714",NA
"138","7","79.250170426697","huslerReissCopula","1.30047891021528",NA
"139","7","83.3201113056032","tevCopula","0.819049538876711","5.11150403436431"
"140","7","78.3797686140698","tCopula","0.573294175753091","17.2417212908791"
"141","7","60.1063492160882","rot gumbelCopula","1.5114752335471",NA
"142","7","60.6159767296627","rot galambosCopula","0.775816031932914",NA
"143","7","61.0597405145439","rot huslerReissCopula","1.19076307164077",NA
"144","8","0","Independent",NA,NA
"145","8","142.041323210121","normalCopula","0.718921751036383",NA
"146","8","173.93571593539","claytonCopula","2.25624763736196",NA
"147","8","104.888731025977","gumbelCopula","1.81142367824349",NA
"148","8","103.236932235582","galambosCopula","1.06960742316844",NA
"149","8","98.8357237543132","huslerReissCopula","1.45617648937385",NA
"150","8","104.585016101811","tevCopula","0.824820269471798","3.59455087192504"
"151","8","144.602068861157","tCopula","0.72361275205477","8.91272339736464"
"152","8","169.488215795759","rot gumbelCopula","2.13218399126079",NA
"153","8","169.825160515639","rot galambosCopula","1.43014726505686",NA
"154","8","169.234067081055","rot huslerReissCopula","1.96988943129492",NA
"155","9","0","Independent",NA,NA
"156","9","97.102866121495","normalCopula","0.626931814144632",NA
"157","9","57.6793959965968","claytonCopula","1.60543782161852",NA
"158","9","97.0049129521119","gumbelCopula","1.72643060793238",NA
"159","9","95.7608768845931","galambosCopula","0.999015994218427",NA
"160","9","92.259327057652","huslerReissCopula","1.4057872921131",NA
"161","9","97.0444161398389","tevCopula","0.799701996969393","3.6075764980325"
"162","9","103.028615524846","tCopula","0.636741082309309","6.56311774009767"
"163","9","91.611750488055","rot gumbelCopula","1.6960594669141",NA
"164","9","90.335455534849","rot galambosCopula","0.967492610448126",NA
"165","9","87.0924361120575","rot huslerReissCopula","1.37275855772496",NA
