"","P","D","W","ll","copula","params1","params2"
"202","4","256","96","-4.20824346554667e-08","gumbelCopula","1.00000001490116",NA
"203","4","256","96","-Inf","galambosCopula",NA,NA
"204","4","256","96","-Inf","huslerReissCopula",NA,NA
"205","4","256","96","-Inf","tevCopula",NA,NA
"206","4","256","96","0.158952042974297","tCopula","-0.0376882010424477","6.70667861188007"
"207","4","256","96","0.0352877245714368","rot gumbelCopula","1.02215451224529",NA
"208","4","256","96","-Inf","rot galambosCopula",NA,NA
"209","4","256","96","-Inf","rot huslerReissCopula",NA,NA
"210","5","256","96","0","Independent",NA,NA
"211","5","256","96","1.36040417975722","normalCopula","0.230364865451624",NA
"212","5","256","96","2.8464807973929","claytonCopula","0.461124384164335",NA
"213","5","256","96","0.553553368082866","gumbelCopula","1.10930643600055",NA
"214","5","256","96","0.60429663696788","galambosCopula","0.351840731954522",NA
"215","5","256","96","0.62638445833553","huslerReissCopula","0.683773625733675",NA
"216","5","256","96","0.613681470730158","tevCopula","0.825024875537994","23.1364881920317"
"217","5","256","96","1.36037632180027","tCopula","0.230363740885345","66046.3209589827"
"218","5","256","96","2.41734726185395","rot gumbelCopula","1.21491642775068",NA
"219","5","256","96","2.25891754350033","rot galambosCopula","0.472531618275634",NA
"220","5","256","96","2.18839534819675","rot huslerReissCopula","0.827893999478701",NA
"221","6","256","96","0","Independent",NA,NA
"222","6","256","96","1.37218624344274","normalCopula","-0.23129267547363",NA
"223","6","256","96","2.24334053823587","claytonCopula","-0.248928455766357",NA
"224","6","256","96","-1.42702465823208e-07","gumbelCopula","1.00000001490116",NA
"225","6","256","96","-Inf","galambosCopula",NA,NA
"226","6","256","96","-Inf","huslerReissCopula",NA,NA
"227","6","256","96","-Inf","tevCopula",NA,NA
"228","6","256","96","2.63514501054463","tCopula","-0.272623422864383","2.95237339229466"
"229","6","256","96","-3.09352509175048e-07","rot gumbelCopula","1.00000001490116",NA
"230","6","256","96","-Inf","rot galambosCopula",NA,NA
"231","6","256","96","-Inf","rot huslerReissCopula",NA,NA
"232","7","256","96","0","Independent",NA,NA
"233","7","256","96","3.27372590178607","normalCopula","-0.342066965992015",NA
"234","7","256","96","0.968463919579892","claytonCopula","-0.145326923556924",NA
"235","7","256","96","-3.34355051603841e-07","gumbelCopula","1.00000001490116",NA
"236","7","256","96","-Inf","galambosCopula",NA,NA
"237","7","256","96","-Inf","huslerReissCopula",NA,NA
"238","7","256","96","-Inf","tevCopula",NA,NA
"239","7","256","96","5.01249717983308","tCopula","-0.305996705795837","2.23802006278172"
"240","7","256","96","-2.80627039349335e-07","rot gumbelCopula","1.00000001490116",NA
"241","7","256","96","-Inf","rot galambosCopula",NA,NA
"242","7","256","96","-Inf","rot huslerReissCopula",NA,NA
"243","8","256","96","0","Independent",NA,NA
"244","8","256","96","1.72535848174058","normalCopula","0.25726912243131",NA
"245","8","256","96","1.38199246174141","claytonCopula","0.397613800761556",NA
"246","8","256","96","2.44307699288722","gumbelCopula","1.22948000661378",NA
"247","8","256","96","1.98354779805896","galambosCopula","0.474296454021051",NA
"248","8","256","96","1.76166639501194","huslerReissCopula","0.806450912898992",NA
"249","8","256","96","3.30026164553714","tevCopula","-0.196013665835802","0.871106325694244"
"250","8","256","96","2.27832109007117","tCopula","0.261571002996462","4.43474555143138"
"251","8","256","96","1.58781288681224","rot gumbelCopula","1.18245189137475",NA
"252","8","256","96","1.67812938753685","rot galambosCopula","0.44093879217174",NA
"253","8","256","96","1.6805163117509","rot huslerReissCopula","0.794729665829985",NA
"254","9","256","96","0","Independent",NA,NA
"255","9","256","96","1.65634450004344","normalCopula","-0.252253145711553",NA
"256","9","256","96","2.77142975225731","claytonCopula","-0.270284949888901",NA
"257","9","256","96","-2.13765699794144e-07","gumbelCopula","1.00000001490116",NA
"258","9","256","96","-Inf","galambosCopula",NA,NA
"259","9","256","96","-Inf","huslerReissCopula",NA,NA
"260","9","256","96","-Inf","tevCopula",NA,NA
"261","9","256","96","1.95971758147795","tCopula","-0.256693154824708","5.9330263888534"
"262","9","256","96","-2.93597337025497e-07","rot gumbelCopula","1.00000001490116",NA
"263","9","256","96","-Inf","rot galambosCopula",NA,NA
"264","9","256","96","-Inf","rot huslerReissCopula",NA,NA
"265","10","256","96","0","Independent",NA,NA
"266","10","256","96","5.51552018241443","normalCopula","-0.426115406936108",NA
"267","10","256","96","3.94030978348585","claytonCopula","-0.237201664251133",NA
"268","10","256","96","-4.90613426114284e-07","gumbelCopula","1.00000001490116",NA
"269","10","256","96","-Inf","galambosCopula",NA,NA
"270","10","256","96","-Inf","huslerReissCopula",NA,NA
"271","10","256","96","-Inf","tevCopula",NA,NA
"272","10","256","96","5.51683456187198","tCopula","-0.426925169332045","151.815591953849"
"273","10","256","96","-5.49812364943406e-07","rot gumbelCopula","1.00000001490116",NA
"274","10","256","96","-Inf","rot galambosCopula",NA,NA
"275","10","256","96","-Inf","rot huslerReissCopula",NA,NA
"276","11","256","96","0","Independent",NA,NA
"277","11","256","96","2.32472402215196","normalCopula","0.294043109744097",NA
"278","11","256","96","3.87031450938285","claytonCopula","0.539930884851495",NA
"279","11","256","96","1.77104931120714","gumbelCopula","1.19674143858584",NA
"280","11","256","96","1.72566731456451","galambosCopula","0.454934297100351",NA
"281","11","256","96","1.61743384072964","huslerReissCopula","0.79770212315235",NA
"282","11","256","96","1.83282724280342","tevCopula","0.338500595228681","3.24010533967635"
"283","11","256","96","3.24874915964885","tCopula","0.278397632306238","3.65908528937979"
"284","11","256","96","3.54800135669722","rot gumbelCopula","1.2726677860968",NA
"285","11","256","96","3.43837072472897","rot galambosCopula","0.534076679078032",NA
"286","11","256","96","3.3617470692109","rot huslerReissCopula","0.904149141623523",NA
"287","12","256","96","0","Independent",NA,NA
"288","12","256","96","0.433538623740466","normalCopula","0.133289075031344",NA
"289","12","256","96","-0.0699122943261749","claytonCopula","0.221014288560117",NA
"290","12","256","96","0.883486732892252","gumbelCopula","1.13030006293026",NA
"291","12","256","96","0.703538610809326","galambosCopula","0.359677054502331",NA
"292","12","256","96","0.621075555609284","huslerReissCopula","0.669827487365898",NA
"293","12","256","96","1.04533372060222","tevCopula","-0.261179414035444","1.39080855346592"
"294","12","256","96","0.65226064818528","tCopula","0.151484197765094","6.01607027130784"
"295","12","256","96","0.231037549044799","rot gumbelCopula","1.06996190143493",NA
"296","12","256","96","0.239159572821858","rot galambosCopula","0.288950004868453",NA
"297","12","256","96","0.247912253207611","rot huslerReissCopula","0.596145784448637",NA
"298","13","256","96","0","Independent",NA,NA
"299","13","256","96","0.00332186939828039","normalCopula","0.0118357127525483",NA
"300","13","256","96","0.376135466270107","claytonCopula","0.144364903312426",NA
"301","13","256","96","-7.02170345964759e-08","gumbelCopula","1.00000001490116",NA
"302","13","256","96","-Inf","galambosCopula",NA,NA
"303","13","256","96","-Inf","huslerReissCopula",NA,NA
"304","13","256","96","-Inf","tevCopula",NA,NA
"305","13","256","96","0.0509076877767987","tCopula","-0.0136158117871347","9.20717490168834"
"306","13","256","96","0.205753529543859","rot gumbelCopula","1.05399372371168",NA
"307","13","256","96","-Inf","rot galambosCopula",NA,NA
"308","13","256","96","-Inf","rot huslerReissCopula",NA,NA
"309","14","256","96","0","Independent",NA,NA
"310","14","256","96","1.05518308902696","normalCopula","0.204384668437178",NA
"311","14","256","96","1.75149912044138","claytonCopula","0.348271108831577",NA
"312","14","256","96","0.882588168417234","gumbelCopula","1.13676028482549",NA
"313","14","256","96","0.69908700771687","galambosCopula","0.368235722182046",NA
"314","14","256","96","0.62828338967551","huslerReissCopula","0.682749845474159",NA
"315","14","256","96","1.06009503372106","tevCopula","-0.253395389671531","1.38117995272072"
"316","14","256","96","1.2481052679995","tCopula","0.202246921677834","6.46993765101389"
"317","14","256","96","1.42278265395673","rot gumbelCopula","1.16188431310778",NA
"318","14","256","96","1.56693531816227","rot galambosCopula","0.421709936095614",NA
"319","14","256","96","1.61173575572914","rot huslerReissCopula","0.777142641349379",NA
"320","15","256","96","0","Independent",NA,NA
"321","15","256","96","8.74432031849288","normalCopula","0.51118615200553",NA
"322","15","256","96","8.69752219656764","claytonCopula","1.07365788772863",NA
"323","15","256","96","9.72975288837525","gumbelCopula","1.54295819223773",NA
"324","15","256","96","8.96005671521527","galambosCopula","0.806019075409345",NA
"325","15","256","96","8.05632476904111","huslerReissCopula","1.16429682135112",NA
"326","15","256","96","11.1964755986673","tevCopula","0.363400841522617","0.970554714968588"
"327","15","256","96","11.6871715182084","tCopula","0.511760554495326","2.31923736947012"
"328","15","256","96","9.93479871726089","rot gumbelCopula","1.53873424297254",NA
"329","15","256","96","9.59222701782293","rot galambosCopula","0.806887374067922",NA
"330","15","256","96","9.25371171898932","rot huslerReissCopula","1.21110220232511",NA
"331","1","256","128","0","Independent",NA,NA
"332","1","256","128","0.697173213334175","normalCopula","0.167851084644011",NA
"333","1","256","128","-0.035664091125648","claytonCopula","0.173426576697757",NA
"334","1","256","128","1.2801070669145","gumbelCopula","1.14542792846804",NA
"335","1","256","128","1.40751518162561","galambosCopula","0.400391018287732",NA
"336","1","256","128","1.43692538412152","huslerReissCopula","0.747980144487149",NA
"337","1","256","128","1.42585224884251","tevCopula","0.881798079699951","29.0209588414841"
"338","1","256","128","0.697018430052986","tCopula","0.167615398333758","2183.69616122691"
"339","1","256","128","0.205437134063614","rot gumbelCopula","1.06304992011352",NA
"340","1","256","128","0.348972398148028","rot galambosCopula","0.303139438048628",NA
"341","1","256","128","0.395308932892638","rot huslerReissCopula","0.628181224798988",NA
"342","2","256","128","0","Independent",NA,NA
