"","P","ll","S","copula","params1","params2"
"201","6","7.36029547764677","0","claytonCopula","4.66616524032333",NA
"202","6","195.243685101439","0","gumbelCopula","2.49288764869124",NA
"203","6","192.624661610482","0","galambosCopula","1.76567905853506",NA
"204","6","180.403712785435","0","huslerReissCopula","2.12245404011329",NA
"205","6","196.971842062464","0","tevCopula","0.909080347397158","2.91072529405428"
"206","6","212.451540379359","0","tCopula","0.830060884640263","1557.58803914062"
"207","6","186.026470136056","0","rot gumbelCopula","2.415313154947",NA
"208","6","184.616386329029","0","rot galambosCopula","1.68584585674397",NA
"209","6","176.756083868704","0","rot huslerReissCopula","2.09423830964103",NA
"210","6","0","1","Independent",NA,NA
"211","6","244.457610033139","1","normalCopula","0.857469311272102",NA
"212","6","112.907137820444","1","claytonCopula","4.7391005819263",NA
"213","6","214.426314336091","1","gumbelCopula","2.61521006049467",NA
"214","6","213.063002184155","1","galambosCopula","1.87907103834388",NA
"215","6","209.025005339472","1","huslerReissCopula","2.34863261616021",NA
"216","6","212.97734929992","1","tevCopula","0.938141536319614","4.29268250704442"
"217","6","244.457138632069","1","tCopula","0.857522014737809","799.552746639511"
"218","6","229.538116266808","1","rot gumbelCopula","2.72097016821053",NA
"219","6","228.073665927475","1","rot galambosCopula","2.00554695664602",NA
"220","6","217.140793144357","1","rot huslerReissCopula","2.42255865298932",NA
"221","6","0","2","Independent",NA,NA
"222","6","253.443858586571","2","normalCopula","0.862504066909217",NA
"223","6","53.2713613479","2","claytonCopula","5.40323927556982",NA
"224","6","222.93373752313","2","gumbelCopula","2.66976118689654",NA
"225","6","220.800985138102","2","galambosCopula","1.94522948507143",NA
"226","6","206.77106305986","2","huslerReissCopula","2.30026588232933",NA
"227","6","224.506779799622","2","tevCopula","0.9315875056813","3.41330091837105"
"228","6","253.441457896337","2","tCopula","0.862504175150362","5564.78682641255"
"229","6","229.383865888263","2","rot gumbelCopula","2.70226432702684",NA
"230","6","228.628049202716","2","rot galambosCopula","1.97533128662133",NA
"231","6","224.745524699711","2","rot huslerReissCopula","2.46875859653659",NA
"232","7","0","0","Independent",NA,NA
"233","7","218.635275396921","0","normalCopula","0.836597301260073",NA
"234","7","131.902239559436","0","claytonCopula","4.12083740528182",NA
"235","7","186.954826380481","0","gumbelCopula","2.42776717142619",NA
"236","7","184.847486148673","0","galambosCopula","1.69679512646869",NA
"237","7","176.591747811721","0","huslerReissCopula","2.09067346933106",NA
"238","7","187.222695510324","0","tevCopula","0.911504713213846","3.30623032189363"
"239","7","218.632921486346","0","tCopula","0.83664430184731","981.097604367142"
"240","7","211.543619745283","0","rot gumbelCopula","2.58599555340437",NA
"241","7","210.669457415162","0","rot galambosCopula","1.87072292753302",NA
"242","7","204.45998458789","0","rot huslerReissCopula","2.34252391563611",NA
"243","7","0","1","Independent",NA,NA
"244","7","329.261331024891","1","normalCopula","0.91193094902705",NA
"245","7","189.536459909445","1","claytonCopula","6.89271997261832",NA
"246","7","280.779037209393","1","gumbelCopula","3.18244198170992",NA
"247","7","278.962687748128","1","galambosCopula","2.45410269236161",NA
"248","7","268.826969470259","1","huslerReissCopula","2.87850534893862",NA
"249","7","281.096107569885","1","tevCopula","0.953743771411646","3.38592595573461"
"250","7","329.21108727084","1","tCopula","0.911921802968593","772.989878739635"
"251","7","319.344251790713","1","rot gumbelCopula","3.50538096072486",NA
"252","7","318.886174683163","1","rot galambosCopula","2.79781963330847",NA
"253","7","311.695403964537","1","rot huslerReissCopula","3.36251122332433",NA
"254","7","0","2","Independent",NA,NA
"255","7","201.869994299197","2","normalCopula","0.817462243418205",NA
"256","7","62.5364832492463","2","claytonCopula","3.99334898442521",NA
"257","7","179.042526903958","2","gumbelCopula","2.34684763949243",NA
"258","7","177.628227706401","2","galambosCopula","1.62287981233173",NA
"259","7","168.540233589877","2","huslerReissCopula","2.01918156980399",NA
"260","7","179.396871921999","2","tevCopula","0.918391871311812","4.09949392344807"
"261","7","201.868769483337","2","tCopula","0.817445354084526","7991.44908499962"
"262","7","182.100698336319","2","rot gumbelCopula","2.3621515913706",NA
"263","7","181.162009901568","2","rot galambosCopula","1.63977994543914",NA
"264","7","174.350252634048","2","rot huslerReissCopula","2.06884394103274",NA
"265","8","0","0","Independent",NA,NA
"266","8","165.667637821029","0","normalCopula","0.781093304818842",NA
"267","8","54.8612837805935","0","claytonCopula","3.25963390497456",NA
"268","8","148.026523804626","0","gumbelCopula","2.15627381526623",NA
"269","8","147.302581346125","0","galambosCopula","1.4315897051783",NA
"270","8","143.409821611135","0","huslerReissCopula","1.87086049716537",NA
"271","8","147.42738983586","0","tevCopula","0.917530058460399","5.30490267082757"
"272","8","165.660447643394","0","tCopula","0.781103397023059","2683.94526910194"
"273","8","147.155869100934","0","rot gumbelCopula","2.14632192552875",NA
"274","8","146.715360306393","0","rot galambosCopula","1.42678855835634",NA
"275","8","140.766625882261","0","rot huslerReissCopula","1.85022691177841",NA
"276","8","0","1","Independent",NA,NA
"277","8","230.734471331538","1","normalCopula","0.848363553741342",NA
"278","8","79.6256181100589","1","claytonCopula","4.99765705014984",NA
"279","8","198.668788357343","1","gumbelCopula","2.53812855533954",NA
"280","8","195.813480102036","1","galambosCopula","1.8037567715072",NA
"281","8","183.420541313203","1","huslerReissCopula","2.14654567216962",NA
"282","8","200.44098817697","1","tevCopula","0.912115202086611","2.8210420690976"
"283","8","230.72127184216","1","tCopula","0.84838599128372","1750.92194789309"
"284","8","215.026121962095","1","rot gumbelCopula","2.65368192669329",NA
"285","8","212.591997517122","1","rot galambosCopula","1.92627850477988",NA
"286","8","202.530027743218","1","rot huslerReissCopula","2.31793745641325",NA
"287","8","0","2","Independent",NA,NA
"288","8","220.642380797702","2","normalCopula","0.838706902125026",NA
"289","8","38.4282118174397","2","claytonCopula","4.39694452640905",NA
"290","8","213.887457959869","2","gumbelCopula","2.62092913942992",NA
"291","8","212.07888136824","2","galambosCopula","1.90342165864807",NA
"292","8","201.66879991504","2","huslerReissCopula","2.31567728285623",NA
"293","8","214.955391452586","2","tevCopula","0.925045590759159","3.29402311494974"
"294","8","220.850323736431","2","tCopula","0.840165699478638","40.0043836134836"
"295","8","191.646555753574","2","rot gumbelCopula","2.46419635277366",NA
"296","8","189.699624098015","2","rot galambosCopula","1.73448498652424",NA
"297","8","180.923019692202","2","rot huslerReissCopula","2.12919807579836",NA
"298","9","0","0","Independent",NA,NA
"299","9","255.072000163199","0","normalCopula","0.868392771023268",NA
"300","9","131.743233877052","0","claytonCopula","5.52223762985774",NA
"301","9","215.436888795355","0","gumbelCopula","2.66845024260278",NA
"302","9","212.544531184752","0","galambosCopula","1.9400119130198",NA
"303","9","196.218075183135","0","huslerReissCopula","2.24440937893272",NA
"304","9","218.569145147642","0","tevCopula","0.924536308449975","2.92041165401293"
"305","9","255.147744234772","0","tCopula","0.869256116052533","76.5555164531103"
"306","9","249.147513745113","0","rot gumbelCopula","2.92111711404204",NA
"307","9","247.353202972085","0","rot galambosCopula","2.20761057453685",NA
"308","9","235.547019623132","0","rot huslerReissCopula","2.6219463373658",NA
"309","9","0","1","Independent",NA,NA
"310","9","232.499860679716","1","normalCopula","0.848715691861915",NA
"311","9","132.029294778382","1","claytonCopula","4.17734008652321",NA
"312","9","205.986196700652","1","gumbelCopula","2.54424925429231",NA
"313","9","204.804784242404","1","galambosCopula","1.82471431636361",NA
"314","9","196.736519939016","1","huslerReissCopula","2.25543077836399",NA
"315","9","206.120894904597","1","tevCopula","0.933835653311018","4.20158885377993"
"316","9","232.474035477402","1","tCopula","0.848730862569239","474.463463068531"
"317","9","218.904753347785","1","rot gumbelCopula","2.62127620032871",NA
"318","9","219.037051788379","1","rot galambosCopula","1.90808438137849",NA
"319","9","216.682825554012","1","rot huslerReissCopula","2.44250610481401",NA
"320","9","0","2","Independent",NA,NA
"321","9","245.437698921805","2","normalCopula","0.860812488955583",NA
"322","9","106.750079307809","2","claytonCopula","4.73160682325419",NA
"323","9","217.952782730255","2","gumbelCopula","2.65987353609963",NA
"324","9","216.009939811853","2","galambosCopula","1.9426045243088",NA
"325","9","203.055844793993","2","huslerReissCopula","2.31240472825795",NA
"326","9","219.451765387605","2","tevCopula","0.932098231368424","3.49883962561161"
"327","9","245.414142166336","2","tCopula","0.860811960677921","1348.18908249352"
"328","9","225.128820967285","2","rot gumbelCopula","2.69518616889571",NA
"329","9","224.806436842184","2","rot galambosCopula","1.9769574251874",NA
"330","9","221.156341963032","2","rot huslerReissCopula","2.48643796076459",NA
"331","10","0","0","Independent",NA,NA
"332","10","262.662563015937","0","normalCopula","0.873020725013896",NA
"333","10","173.825264919117","0","claytonCopula","5.07443651689084",NA
"334","10","223.054630215377","0","gumbelCopula","2.68808588354104",NA
"335","10","221.938508781627","0","galambosCopula","1.95961918945096",NA
"336","10","215.170012004207","0","huslerReissCopula","2.40650247686223",NA
"337","10","222.613627192703","0","tevCopula","0.944349830270329","4.45608498807267"
