"","ID","W","ll","copula","params1","params2"
"70","2","25.4434589800443","79.1422177406754","gumbelCopula","1.79897506559411",NA
"71","2","25.4434589800443","75.4187034433754","galambosCopula","1.07881788233147",NA
"72","2","25.4434589800443","61.2329562091216","huslerReissCopula","1.34925821088355",NA
"73","2","25.4434589800443","86.1118538601331","tevCopula","0.732788948534414","1.96643398432682"
"74","2","25.4434589800443","96.8758451737777","tCopula","0.669352277748186","3.22527230107744"
"75","2","25.4434589800443","87.4634017144937","rot gumbelCopula","1.84199471248075",NA
"76","2","25.4434589800443","85.5429804390801","rot galambosCopula","1.12084600151987",NA
"77","2","25.4434589800443","79.145686906024","rot huslerReissCopula","1.50399323857393",NA
"78","2","42.4057649667406","0","Independent",NA,NA
"79","2","42.4057649667406","50.3186289742272","normalCopula","0.649061912369367",NA
