"","P","S","ll","copula","params1","params2"
"40","0","3","3.95799569381371","tevCopula","0.961616373922229","59.1774263755448"
"41","0","3","4.93876279601871","tCopula","0.395825108639248","1380.96091330111"
"42","0","3","6.0646127734135","rot gumbelCopula","1.34672481318213",NA
"43","0","3","6.34536467186319","rot galambosCopula","0.629958561461635",NA
"44","0","3","6.52214183057417","rot huslerReissCopula","1.0491050215698",NA
"45","0","4","0","Independent",NA,NA
"46","0","4","0.823527532992197","normalCopula","0.177579558444963",NA
"47","0","4","-0.433199124114725","claytonCopula","0.211352944208562",NA
"48","0","4","1.7997116735348","gumbelCopula","1.17078525756468",NA
"49","0","4","1.84459895144096","galambosCopula","0.42521605024221",NA
"50","0","4","1.86769580047446","huslerReissCopula","0.77863069304892",NA
"51","0","4","1.85716765272213","tevCopula","0.879041658024682","26.0721745619612"
"52","0","4","0.857172611072296","tCopula","0.167293328404143","10.6554195238371"
"53","0","4","0.175508659208615","rot gumbelCopula","1.06123866889492",NA
"54","0","4","0.220928964039966","rot galambosCopula","0.284216981238266",NA
"55","0","4","0.234796222554007","rot huslerReissCopula","0.59219803540647",NA
"56","1","0","0","Independent",NA,NA
"57","1","0","0.0400855753360936","normalCopula","-0.0397034142309271",NA
"58","1","0","0.13627656150896","claytonCopula","-0.0475798005039933",NA
"59","1","0","0.053200693009669","gumbelCopula","1.02635925115314",NA
"60","1","0","-Inf","galambosCopula",NA,NA
"61","1","0","-Inf","huslerReissCopula",NA,NA
"62","1","0","0.378158749305002","tevCopula","-0.947761180492338","0.213119745681158"
"63","1","0","0.723932397540149","tCopula","-0.045442100678416","3.58993226361826"
"64","1","0","-8.86824989808094e-08","rot gumbelCopula","1.00000001490116",NA
"65","1","0","-Inf","rot galambosCopula",NA,NA
"66","1","0","-Inf","rot huslerReissCopula",NA,NA
"67","1","1","0","Independent",NA,NA
"68","1","1","0.0972412419206228","normalCopula","-0.0609068865787123",NA
"69","1","1","0.00085481591429093","claytonCopula","0.00659550928775212",NA
"70","1","1","-2.61196260453733e-09","gumbelCopula","1.00000001490116",NA
"71","1","1","3.66373598126302e-15","galambosCopula","0.0159518057650692",NA
"72","1","1","-7.66053886991358e-15","huslerReissCopula","0.0348927722989337",NA
"73","1","1","-Inf","tevCopula",NA,NA
"74","1","1","-Inf","tCopula",NA,NA
"75","1","1","-2.59422473607163e-09","rot gumbelCopula","1.00000001490116",NA
"76","1","1","-1.72563075231221e-11","rot galambosCopula","0.0287242839732037",NA
"77","1","1","-3.06671355887727e-11","rot huslerReissCopula","0.152751612049479",NA
"78","1","2","0","Independent",NA,NA
"79","1","2","3.07445092730473","normalCopula","0.317464264807247",NA
"80","1","2","2.52121783101557","claytonCopula","0.531093100059588",NA
"81","1","2","2.84198747028944","gumbelCopula","1.23600911142028",NA
"82","1","2","2.7321631600545","galambosCopula","0.493816804681973",NA
"83","1","2","2.71774657980599","huslerReissCopula","0.858962677221313",NA
"84","1","2","3.27543382178735","tevCopula","-0.411753016492896","0.582493170553793"
"85","1","2","3.07408033941563","tCopula","0.317274104169562","7346.48096026225"
"86","1","2","2.67973585802634","rot gumbelCopula","1.23651087864043",NA
"87","1","2","2.72383094455984","rot galambosCopula","0.501143710663986",NA
