"","P","ll","D","W","copula","params1","params2"
"150","2","1.01231486186584","400","24","tevCopula","0.876357897543352","41.6115199213359"
"151","2","3.0523771224838","400","24","tCopula","0.194315400300321","42.5864334189608"
"152","2","5.89120526020112","400","24","rot gumbelCopula","1.17584825501322",NA
"153","2","5.95918187349149","400","24","rot galambosCopula","0.431849467145659",NA
"154","2","5.89752369604584","400","24","rot huslerReissCopula","0.78047236974543",NA
"155","2","0","400","70","Independent",NA,NA
"156","2","17.5573375726791","400","70","normalCopula","0.439904313315524",NA
"157","2","27.738328199243","400","70","claytonCopula","0.881408799914144",NA
"158","2","7.81084452812946","400","70","gumbelCopula","1.26898135564288",NA
"159","2","8.26171852550484","400","70","galambosCopula","0.525090670569796",NA
"160","2","8.61916780195508","400","70","huslerReissCopula","0.904820549144843",NA
"161","2","8.54100211901545","400","70","tevCopula","0.955002042710172","53.2696057699965"
"162","2","17.5360659857199","400","70","tCopula","0.439880685684113","523.064460960848"
"163","2","22.5753987057911","400","70","rot gumbelCopula","1.44029258702548",NA
"164","2","23.0431577534511","400","70","rot galambosCopula","0.720368466298402",NA
"165","2","23.294175289808","400","70","rot huslerReissCopula","1.14306724549541",NA
"166","2","0","770","8","Independent",NA,NA
"167","2","4.34171469331088","770","8","normalCopula","0.234549742000181",NA
"168","2","2.73246445347396","770","8","claytonCopula","0.335431284391602",NA
"169","2","3.56494042392579","770","8","gumbelCopula","1.14707508731842",NA
"170","2","4.17139592529836","770","8","galambosCopula","0.401922094196502",NA
"171","2","4.41012897799295","770","8","huslerReissCopula","0.754772096236209",NA
"172","2","4.3647788280758","770","8","tevCopula","0.946049922831955","64.1744919573877"
"173","2","4.34140104386274","770","8","tCopula","0.234453404694274","30776.1356067472"
"174","2","3.22335201780361","770","8","rot gumbelCopula","1.14321035874239",NA
"175","2","3.53331055176854","770","8","rot galambosCopula","0.394928575032729",NA
"176","2","3.63635848591807","770","8","rot huslerReissCopula","0.739200331552972",NA
"177","2","0","770","24","Independent",NA,NA
"178","2","0.128684428186313","770","24","normalCopula","-0.0410120259154457",NA
"179","2","0.34795817921046","770","24","claytonCopula","-0.0453955414257006",NA
"180","2","-1.03988104903016e-07","770","24","gumbelCopula","1.00000001490116",NA
"181","2","-Inf","770","24","galambosCopula",NA,NA
"182","2","-Inf","770","24","huslerReissCopula",NA,NA
"183","2","-Inf","770","24","tevCopula",NA,NA
"184","2","0.128576624340767","770","24","tCopula","-0.0410132425530853","75812.8426929793"
"185","2","-3.74408755580632e-07","770","24","rot gumbelCopula","1.00000001490116",NA
"186","2","-Inf","770","24","rot galambosCopula",NA,NA
"187","2","-Inf","770","24","rot huslerReissCopula",NA,NA
"188","2","0","770","70","Independent",NA,NA
"189","2","0.582822401660692","770","70","normalCopula","0.0868548960936001",NA
"190","2","-2.45414554508582","770","70","claytonCopula","0.185051687727537",NA
"191","2","1.03321664305658","770","70","gumbelCopula","1.07846273522798",NA
"192","2","1.07616300220423","770","70","galambosCopula","0.300188144290512",NA
"193","2","1.07607741968535","770","70","huslerReissCopula","0.606570610962665",NA
"194","2","1.07708253656563","770","70","tevCopula","0.692567356705932","15.7538525041982"
"195","2","0.581259862252839","770","70","tCopula","0.087031111631769","5775.70573855403"
