"","P","I","ll","copula","params1","params2"
"244","13","2","74.6308807765873","normalCopula","0.700014935673339",NA
"245","13","2","46.856299553051","claytonCopula","2.675566048455",NA
"246","13","2","59.8786615226221","gumbelCopula","1.83821637806154",NA
"247","13","2","57.5874316822137","galambosCopula","1.09232611315286",NA
"248","13","2","52.8383886877561","huslerReissCopula","1.43495146239058",NA
"249","13","2","62.1825086288165","tevCopula","0.739029105318378","1.82478747049384"
"250","13","2","75.5773857166293","tCopula","0.710708784562429","14.8931191825466"
"251","13","2","76.5244753259226","rot gumbelCopula","1.96040403566128",NA
"252","13","2","76.5016348998043","rot galambosCopula","1.23418930228792",NA
"253","13","2","75.9398072198251","rot huslerReissCopula","1.70072163720639",NA
"254","13","3","0","Independent",NA,NA
"255","13","3","101.417208748358","normalCopula","0.771272678464869",NA
"256","13","3","110.948000156316","claytonCopula","3.01349526309861",NA
"257","13","3","77.0691961253613","gumbelCopula","1.99327408554565",NA
"258","13","3","76.3659858618594","galambosCopula","1.2543211363316",NA
"259","13","3","73.9715920558567","huslerReissCopula","1.66438202370874",NA
"260","13","3","76.7236520297344","tevCopula","0.883521610976119","4.44444410403303"
"261","13","3","102.558282984714","tCopula","0.775970491987427","12.7569006032284"
"262","13","3","115.767752459841","rot gumbelCopula","2.35349324500174",NA
"263","13","3","115.948880146149","rot galambosCopula","1.65486398844594",NA
"264","13","3","114.062725598335","rot huslerReissCopula","2.19412213440779",NA
"265","14","0","0","Independent",NA,NA
"266","14","0","66.2490704990283","normalCopula","0.672044302605965",NA
"267","14","0","49.0776561952558","claytonCopula","1.89190287341909",NA
"268","14","0","58.5056968511096","gumbelCopula","1.75541197060026",NA
"269","14","0","59.1751414998705","galambosCopula","1.03962217421921",NA
"270","14","0","58.403411732844","huslerReissCopula","1.48728113700741",NA
"271","14","0","59.2703672902816","tevCopula","0.899439582458705","7.71542390209452"
"272","14","0","67.0576265531024","tCopula","0.673656335084561","14.7966658913229"
"273","14","0","64.7649280101009","rot gumbelCopula","1.80087349254129",NA
"274","14","0","65.637587854356","rot galambosCopula","1.09444096047609",NA
"275","14","0","65.5667965103092","rot huslerReissCopula","1.57331974539508",NA
"276","14","1","0","Independent",NA,NA
"277","14","1","81.873153784568","normalCopula","0.721749192470454",NA
"278","14","1","86.1136279735462","claytonCopula","2.6330878955475",NA
"279","14","1","67.3167456677283","gumbelCopula","1.90451157502637",NA
"280","14","1","65.2698203749406","galambosCopula","1.15965798781029",NA
"281","14","1","60.7882336488722","huslerReissCopula","1.52043613720612",NA
"282","14","1","69.4167407477096","tevCopula","0.76200635835839","1.84242274682435"
"283","14","1","87.6312106215323","tCopula","0.741096522810445","5.38374755140617"
"284","14","1","95.5045091789197","rot gumbelCopula","2.14834202144454",NA
"285","14","1","94.7727733429584","rot galambosCopula","1.43785856037568",NA
"286","14","1","91.427089309483","rot huslerReissCopula","1.89607488012618",NA
"287","14","2","0","Independent",NA,NA
"288","14","2","102.005180672295","normalCopula","0.772671389028157",NA
"289","14","2","61.8370653137967","claytonCopula","2.84525714288583",NA
"290","14","2","90.3958006043551","gumbelCopula","2.09620297373114",NA
"291","14","2","90.5304108022883","galambosCopula","1.37452593990443",NA
"292","14","2","89.8991405467606","huslerReissCopula","1.85919297743593",NA
"293","14","2","90.4273085182034","tevCopula","0.941413740646893","8.58126884161465"
"294","14","2","102.007647976273","tCopula","0.77283273742508","141.241415250288"
"295","14","2","95.7532621509057","rot gumbelCopula","2.14503712747699",NA
"296","14","2","96.1636195507313","rot galambosCopula","1.42691074547229",NA
"297","14","2","96.2898816245756","rot huslerReissCopula","1.93992340676662",NA
"298","14","3","0","Independent",NA,NA
"299","14","3","95.3547371107761","normalCopula","0.757247965357227",NA
