"","P","I","ll","copula","params"
"150","11","1","60.0052320273739","tCopula","0.901824777121861"
"151","11","1","52.8629943897448","rot gumbelCopula","3.12952916792383"
"152","11","1","52.316321360049","rot galambosCopula","2.39338618969357"
"153","11","1","50.1501143274687","rot huslerReissCopula","2.80472725144416"
"154","11","2","2.22140233000299","claytonCopula","1.44649260383386"
"155","11","2","13.0736022367999","gumbelCopula","1.72983966846691"
"156","11","2","13.2550848862759","galambosCopula","1.02462625654929"
"157","11","2","13.4141423408273","huslerReissCopula","1.52105751450147"
"158","11","2","13.3717161272505","tevCopula","0.971611914750907"
"159","11","2","11.0432659877476","tCopula","0.606511201791385"
"160","11","2","8.06476664332356","rot gumbelCopula","1.57174511044217"
"161","11","2","7.91494041511562","rot galambosCopula","0.844824226975309"
"162","11","2","7.60909607299918","rot huslerReissCopula","1.24761754450518"
"163","11","3","8.29233822875679","claytonCopula","1.94108559000445"
"164","11","3","14.8520927324045","gumbelCopula","1.82194336117507"
"165","11","3","14.7480300639204","galambosCopula","1.10190180427239"
"166","11","3","14.4912772311298","huslerReissCopula","1.55435360754855"
"167","11","3","14.7845734991004","tevCopula","0.848269393126095"
"168","11","3","15.4586556831743","tCopula","0.672192667719904"
"169","11","3","13.7571282511253","rot gumbelCopula","1.77569284291718"
"170","11","3","13.8597337905112","rot galambosCopula","1.05298814338364"
"171","11","3","14.0441581610711","rot huslerReissCopula","1.53185598659204"
"172","11","4","2.91053740574148","claytonCopula","1.52860615776896"
"173","11","4","15.7424604199782","gumbelCopula","1.82993873109567"
"174","11","4","15.8548961709268","galambosCopula","1.12349918433872"
"175","11","4","15.9924121904045","huslerReissCopula","1.63449486897651"
"176","11","4","15.9463323076074","tevCopula","0.971862423462468"
"177","11","4","13.0999812498118","tCopula","0.640553109805637"
"178","11","4","9.42807968655022","rot gumbelCopula","1.62476116122097"
"179","11","4","9.41916776621703","rot galambosCopula","0.89613484170773"
"180","11","4","9.3954522683984","rot huslerReissCopula","1.33042681986751"
"181","12","0","28.7527859426229","claytonCopula","2.5329654604262"
"182","12","0","28.0594245667866","gumbelCopula","2.1218271249325"
"183","12","0","27.8461368660553","galambosCopula","1.40789603621654"
"184","12","0","26.7394796274187","huslerReissCopula","1.84758110417655"
"185","12","0","28.1497673032895","tevCopula","0.885549811263586"
"186","12","0","31.5300709624339","tCopula","0.771848190393622"
"187","12","0","32.1114240198615","rot gumbelCopula","2.23132765011416"
"188","12","0","32.3048077721524","rot galambosCopula","1.52564634084996"
"189","12","0","32.546581484338","rot huslerReissCopula","2.09542593899826"
"190","12","1","32.3613207196196","claytonCopula","3.50912897981444"
"191","12","1","42.2615071875529","gumbelCopula","2.43059787379167"
"192","12","1","42.1592202423062","galambosCopula","1.70707845010743"
"193","12","1","41.8820174441298","huslerReissCopula","2.23317549351705"
"194","12","1","42.0308394602156","tevCopula","0.941212431241797"
"195","12","1","46.1257090357545","tCopula","0.826282376888717"
"196","12","1","44.5608976301939","rot gumbelCopula","2.49229315377121"
"197","12","1","44.5250242948747","rot galambosCopula","1.78190654906782"
"198","12","1","43.7852542883398","rot huslerReissCopula","2.30462470196264"
"199","12","2","21.0174459824138","claytonCopula","2.35938543569757"
"200","12","2","27.7759076878748","gumbelCopula","2.02564335465657"
"201","12","2","27.9785924833297","galambosCopula","1.31165532970322"
"202","12","2","28.1943286445648","huslerReissCopula","1.83167739139162"
"203","12","2","28.1372875055144","tevCopula","0.977442544757363"
"204","12","2","30.0124944507606","tCopula","0.748942223983139"
"205","12","2","28.2287280795828","rot gumbelCopula","2.03689384535917"
"206","12","2","28.5388152095431","rot galambosCopula","1.32700049666744"
"207","12","2","28.950130886652","rot huslerReissCopula","1.86612069354444"
"208","12","3","18.6173112135945","claytonCopula","2.93123311435394"
"209","12","3","30.2576538935373","gumbelCopula","2.18394554530368"
"210","12","3","30.5386535802832","galambosCopula","1.46699691396291"
"211","12","3","31.0772629300066","huslerReissCopula","2.02743661501881"
"212","12","3","30.9285092913132","tevCopula","0.984495536962222"
"213","12","3","32.577356030951","tCopula","0.7831418183071"
"214","12","3","30.1947810329501","rot gumbelCopula","2.20364192026007"
"215","12","3","29.9694513227198","rot galambosCopula","1.48311448354025"
"216","12","3","29.2277993240488","rot huslerReissCopula","1.94950828314702"
"217","12","4","15.3474136637236","claytonCopula","2.10191100791749"
"218","12","4","18.6861278463661","gumbelCopula","1.81036903090488"
"219","12","4","19.1671227926874","galambosCopula","1.09688901419063"
"220","12","4","19.7693851555879","huslerReissCopula","1.60959340822211"
"221","12","4","19.6267416183304","tevCopula","0.979413750027173"
"222","12","4",NA,NA,NA
"223","12","4","20.6623185622769","rot gumbelCopula","1.88014999546575"
"224","12","4","20.8448952896677","rot galambosCopula","1.17033282464162"
"225","12","4","20.7663947718961","rot huslerReissCopula","1.65287128420078"
"226","13","0","26.0745678555671","claytonCopula","3.09531078532551"
"227","13","0","36.5254839261687","gumbelCopula","2.36897554604127"
"228","13","0","36.746259164296","galambosCopula","1.66859810293539"
"229","13","0","36.7055936588404","huslerReissCopula","2.22852883246189"
"230","13","0","36.799678211051","tevCopula","0.968700983718215"
"231","13","0","39.0301233175502","tCopula","0.817854086004823"
"232","13","0","36.1557501628698","rot gumbelCopula","2.3420238094724"
"233","13","0","36.6767172896059","rot galambosCopula","1.64490437045156"
"234","13","0","37.4017135102147","rot huslerReissCopula","2.25997548012375"
