,participant,set,ID,IDe,MT,d,w,D,W
1625,3,44,8.0,8.752282153021964,1.4500000000000028,353.38137472283813,1.3858093126385809,12.721729490022174,0.49889135254988914
1626,3,44,8.0,8.752282153021964,1.6799999999999926,353.38137472283813,1.3858093126385809,12.721729490022174,0.49889135254988914
1627,3,44,8.0,8.752282153021964,1.75,353.38137472283813,1.3858093126385809,12.721729490022174,0.49889135254988914
1628,3,44,8.0,8.752282153021964,1.5999999999999943,353.38137472283813,1.3858093126385809,12.721729490022174,0.49889135254988914
1629,3,44,8.0,8.752282153021964,1.5600000000000023,353.38137472283813,1.3858093126385809,12.721729490022174,0.49889135254988914
1630,3,44,8.0,8.752282153021964,1.3999999999999915,353.38137472283813,1.3858093126385809,12.721729490022174,0.49889135254988914
1631,3,44,8.0,8.752282153021964,1.5400000000000063,353.38137472283813,1.3858093126385809,12.721729490022174,0.49889135254988914
1632,3,44,8.0,8.752282153021964,1.3800000000000097,353.38137472283813,1.3858093126385809,12.721729490022174,0.49889135254988914
1633,3,44,8.0,8.752282153021964,1.5899999999999892,353.38137472283813,1.3858093126385809,12.721729490022174,0.49889135254988914
1634,3,44,8.0,8.752282153021964,1.6500000000000057,353.38137472283813,1.3858093126385809,12.721729490022174,0.49889135254988914
1635,3,44,8.0,8.752282153021964,1.6299999999999955,353.38137472283813,1.3858093126385809,12.721729490022174,0.49889135254988914
1636,3,44,8.0,8.752282153021964,1.3500000000000085,353.38137472283813,1.3858093126385809,12.721729490022174,0.49889135254988914
1637,3,44,8.0,8.752282153021964,1.4399999999999977,353.38137472283813,1.3858093126385809,12.721729490022174,0.49889135254988914
1638,3,44,8.0,8.752282153021964,1.6100000000000136,353.38137472283813,1.3858093126385809,12.721729490022174,0.49889135254988914
1639,3,45,6.016808287686554,6.58545821673391,1.0799999999999992,353.38137472283813,5.5432372505543235,12.721729490022174,1.9955654101995566
1640,3,45,6.016808287686554,6.58545821673391,1.1399999999999997,353.38137472283813,5.5432372505543235,12.721729490022174,1.9955654101995566
1641,3,45,6.016808287686554,6.58545821673391,0.9900000000000002,353.38137472283813,5.5432372505543235,12.721729490022174,1.9955654101995566
1642,3,45,6.016808287686554,6.58545821673391,1.0999999999999996,353.38137472283813,5.5432372505543235,12.721729490022174,1.9955654101995566
1643,3,45,6.016808287686554,6.58545821673391,1.040000000000001,353.38137472283813,5.5432372505543235,12.721729490022174,1.9955654101995566
1644,3,45,6.016808287686554,6.58545821673391,1.0300000000000011,353.38137472283813,5.5432372505543235,12.721729490022174,1.9955654101995566
1645,3,45,6.016808287686554,6.58545821673391,1.0300000000000011,353.38137472283813,5.5432372505543235,12.721729490022174,1.9955654101995566
1646,3,45,6.016808287686554,6.58545821673391,0.9199999999999982,353.38137472283813,5.5432372505543235,12.721729490022174,1.9955654101995566
1647,3,45,6.016808287686554,6.58545821673391,1.2600000000000016,353.38137472283813,5.5432372505543235,12.721729490022174,1.9955654101995566
1648,3,45,6.016808287686554,6.58545821673391,1.3000000000000007,353.38137472283813,5.5432372505543235,12.721729490022174,1.9955654101995566
1649,3,45,6.016808287686554,6.58545821673391,0.8500000000000014,353.38137472283813,5.5432372505543235,12.721729490022174,1.9955654101995566
1650,3,45,6.016808287686554,6.58545821673391,1.2299999999999969,353.38137472283813,5.5432372505543235,12.721729490022174,1.9955654101995566
1651,3,45,6.016808287686554,6.58545821673391,1.0599999999999987,353.38137472283813,5.5432372505543235,12.721729490022174,1.9955654101995566
1652,3,45,6.016808287686554,6.58545821673391,1.3700000000000045,353.38137472283813,5.5432372505543235,12.721729490022174,1.9955654101995566
1653,3,45,6.016808287686554,6.58545821673391,1.0399999999999991,353.38137472283813,5.5432372505543235,12.721729490022174,1.9955654101995566
1654,3,45,6.016808287686554,6.58545821673391,0.980000000000004,353.38137472283813,5.5432372505543235,12.721729490022174,1.9955654101995566
1655,3,45,6.016808287686554,6.58545821673391,0.8099999999999952,353.38137472283813,5.5432372505543235,12.721729490022174,1.9955654101995566
1656,3,45,6.016808287686554,6.58545821673391,0.9399999999999977,353.38137472283813,5.5432372505543235,12.721729490022174,1.9955654101995566
1657,3,45,6.016808287686554,6.58545821673391,1.009999999999998,353.38137472283813,5.5432372505543235,12.721729490022174,1.9955654101995566
1658,3,45,6.016808287686554,6.58545821673391,1.0399999999999991,353.38137472283813,5.5432372505543235,12.721729490022174,1.9955654101995566
1659,3,45,6.016808287686554,6.58545821673391,1.1099999999999994,353.38137472283813,5.5432372505543235,12.721729490022174,1.9955654101995566
1660,3,45,6.016808287686554,6.58545821673391,0.8900000000000006,353.38137472283813,5.5432372505543235,12.721729490022174,1.9955654101995566
1661,3,45,6.016808287686554,6.58545821673391,0.8400000000000034,353.38137472283813,5.5432372505543235,12.721729490022174,1.9955654101995566
1662,3,45,6.016808287686554,6.58545821673391,1.2600000000000051,353.38137472283813,5.5432372505543235,12.721729490022174,1.9955654101995566
1663,3,45,6.016808287686554,6.58545821673391,1.0899999999999963,353.38137472283813,5.5432372505543235,12.721729490022174,1.9955654101995566
1664,3,45,6.016808287686554,6.58545821673391,0.980000000000004,353.38137472283813,5.5432372505543235,12.721729490022174,1.9955654101995566
1665,3,45,6.016808287686554,6.58545821673391,0.8299999999999912,353.38137472283813,5.5432372505543235,12.721729490022174,1.9955654101995566
1666,3,45,6.016808287686554,6.58545821673391,1.0600000000000023,353.38137472283813,5.5432372505543235,12.721729490022174,1.9955654101995566
1667,3,45,6.016808287686554,6.58545821673391,0.980000000000004,353.38137472283813,5.5432372505543235,12.721729490022174,1.9955654101995566
1668,3,45,6.016808287686554,6.58545821673391,0.9500000000000028,353.38137472283813,5.5432372505543235,12.721729490022174,1.9955654101995566
1669,3,45,6.016808287686554,6.58545821673391,1.0300000000000011,353.38137472283813,5.5432372505543235,12.721729490022174,1.9955654101995566
1670,3,45,6.016808287686554,6.58545821673391,1.0100000000000051,353.38137472283813,5.5432372505543235,12.721729490022174,1.9955654101995566
1671,3,45,6.016808287686554,6.58545821673391,1.1200000000000045,353.38137472283813,5.5432372505543235,12.721729490022174,1.9955654101995566
1672,3,45,6.016808287686554,6.58545821673391,0.8699999999999903,353.38137472283813,5.5432372505543235,12.721729490022174,1.9955654101995566
1673,3,45,6.016808287686554,6.58545821673391,0.8200000000000074,353.38137472283813,5.5432372505543235,12.721729490022174,1.9955654101995566
1674,3,45,6.016808287686554,6.58545821673391,0.980000000000004,353.38137472283813,5.5432372505543235,12.721729490022174,1.9955654101995566
1675,3,46,4.0,4.508829831022112,0.69,353.38137472283813,23.558758314855876,12.721729490022174,8.481152993348115
1676,3,46,4.0,4.508829831022112,0.7000000000000002,353.38137472283813,23.558758314855876,12.721729490022174,8.481152993348115
1677,3,46,4.0,4.508829831022112,0.7700000000000005,353.38137472283813,23.558758314855876,12.721729490022174,8.481152993348115
1678,3,46,4.0,4.508829831022112,0.7399999999999993,353.38137472283813,23.558758314855876,12.721729490022174,8.481152993348115
1679,3,46,4.0,4.508829831022112,0.6599999999999984,353.38137472283813,23.558758314855876,12.721729490022174,8.481152993348115
1680,3,46,4.0,4.508829831022112,0.7400000000000002,353.38137472283813,23.558758314855876,12.721729490022174,8.481152993348115
1681,3,46,4.0,4.508829831022112,0.7699999999999996,353.38137472283813,23.558758314855876,12.721729490022174,8.481152993348115
1682,3,46,4.0,4.508829831022112,0.6300000000000008,353.38137472283813,23.558758314855876,12.721729490022174,8.481152993348115
1683,3,46,4.0,4.508829831022112,0.6199999999999992,353.38137472283813,23.558758314855876,12.721729490022174,8.481152993348115
1684,3,46,4.0,4.508829831022112,0.7100000000000009,353.38137472283813,23.558758314855876,12.721729490022174,8.481152993348115
1685,3,46,4.0,4.508829831022112,0.610000000000003,353.38137472283813,23.558758314855876,12.721729490022174,8.481152993348115
1686,3,46,4.0,4.508829831022112,0.7100000000000009,353.38137472283813,23.558758314855876,12.721729490022174,8.481152993348115
1687,3,46,4.0,4.508829831022112,0.7200000000000024,353.38137472283813,23.558758314855876,12.721729490022174,8.481152993348115
1688,3,46,4.0,4.508829831022112,0.6300000000000026,353.38137472283813,23.558758314855876,12.721729490022174,8.481152993348115
1689,3,46,4.0,4.508829831022112,0.6600000000000001,353.38137472283813,23.558758314855876,12.721729490022174,8.481152993348115
1690,3,46,4.0,4.508829831022112,0.8900000000000006,353.38137472283813,23.558758314855876,12.721729490022174,8.481152993348115
1691,3,46,4.0,4.508829831022112,0.6799999999999997,353.38137472283813,23.558758314855876,12.721729490022174,8.481152993348115
1692,3,46,4.0,4.508829831022112,0.75,353.38137472283813,23.558758314855876,12.721729490022174,8.481152993348115
1693,3,46,4.0,4.508829831022112,0.7399999999999984,353.38137472283813,23.558758314855876,12.721729490022174,8.481152993348115
1694,3,46,4.0,4.508829831022112,0.6600000000000001,353.38137472283813,23.558758314855876,12.721729490022174,8.481152993348115
1695,3,46,4.0,4.508829831022112,0.6899999999999977,353.38137472283813,23.558758314855876,12.721729490022174,8.481152993348115
1696,3,46,4.0,4.508829831022112,0.6000000000000014,353.38137472283813,23.558758314855876,12.721729490022174,8.481152993348115
1697,3,46,4.0,4.508829831022112,0.6600000000000037,353.38137472283813,23.558758314855876,12.721729490022174,8.481152993348115
1698,3,46,4.0,4.508829831022112,0.7100000000000009,353.38137472283813,23.558758314855876,12.721729490022174,8.481152993348115
1699,3,46,4.0,4.508829831022112,0.6799999999999997,353.38137472283813,23.558758314855876,12.721729490022174,8.481152993348115
1700,3,46,4.0,4.508829831022112,0.6499999999999986,353.38137472283813,23.558758314855876,12.721729490022174,8.481152993348115
1701,3,46,4.0,4.508829831022112,0.6799999999999997,353.38137472283813,23.558758314855876,12.721729490022174,8.481152993348115
