,participant,id,mt
205,3,2.321928094887362,0.723
206,3,2.321928094887362,1.111
207,3,2.321928094887362,0.886
208,3,2.321928094887362,0.696
209,3,2.321928094887362,0.651
210,3,2.321928094887362,0.686
211,3,2.321928094887362,0.669
212,3,2.321928094887362,0.66
213,3,2.321928094887362,0.748
214,3,2.321928094887362,0.643
215,3,2.321928094887362,0.768
216,3,2.321928094887362,0.669
217,3,2.321928094887362,0.75
218,3,2.321928094887362,0.859
219,3,2.321928094887362,0.786
220,3,2.321928094887362,0.84
221,3,2.321928094887362,1.363
222,3,2.321928094887362,0.885
223,3,2.321928094887362,0.967
224,3,2.321928094887362,1.119
225,3,2.321928094887362,1.077
226,3,2.321928094887362,1.021
227,3,2.321928094887362,0.777
228,3,2.321928094887362,0.822
229,3,2.321928094887362,0.65
230,3,2.321928094887362,0.922
231,3,2.321928094887362,0.884
232,3,2.321928094887362,0.777
233,3,2.321928094887362,0.642
234,3,2.321928094887362,0.767
235,3,2.321928094887362,0.694
236,3,2.321928094887362,0.859
237,3,2.321928094887362,0.724
238,3,2.321928094887362,0.85
239,3,2.321928094887362,0.803
240,3,4.087462841250339,2.441
241,3,4.087462841250339,1.444
242,3,4.087462841250339,1.346
243,3,4.087462841250339,1.437
244,3,4.087462841250339,2.349
245,3,4.087462841250339,1.285
246,3,4.087462841250339,1.68
247,3,4.087462841250339,1.742
248,3,4.087462841250339,1.319
249,3,4.087462841250339,1.671
250,3,4.087462841250339,1.861
251,3,4.087462841250339,1.211
252,3,4.087462841250339,1.363
253,3,4.087462841250339,1.382
254,3,4.087462841250339,1.003
255,3,4.087462841250339,1.084
256,3,4.087462841250339,0.901
257,3,4.087462841250339,1.591
258,3,4.087462841250339,1.003
259,3,4.087462841250339,1.926
260,3,4.087462841250339,2.547
261,3,4.087462841250339,1.454
262,3,4.087462841250339,1.292
263,3,4.087462841250339,2.251
264,3,4.087462841250339,2.341
265,3,4.087462841250339,1.293
266,3,4.087462841250339,1.88
267,3,4.087462841250339,1.012
268,3,4.087462841250339,1.491
269,3,4.087462841250339,1.473
270,3,4.087462841250339,1.464
271,3,4.087462841250339,1.138
272,3,4.087462841250339,2.169
273,3,4.087462841250339,1.284
274,3,4.087462841250339,1.319
275,3,4.087462841250339,1.075
276,3,4.087462841250339,1.499
277,3,4.087462841250339,1.419
278,3,4.087462841250339,1.338
279,3,4.087462841250339,1.699
280,3,3.5443205162238103,1.427
281,3,3.5443205162238103,0.877
282,3,3.5443205162238103,1.193
283,3,3.5443205162238103,1.229
284,3,3.5443205162238103,1.5
285,3,3.5443205162238103,1.625
286,3,3.5443205162238103,1.102
287,3,3.5443205162238103,0.848
288,3,3.5443205162238103,1.102
289,3,3.5443205162238103,1.065
290,3,3.5443205162238103,0.994
291,3,3.5443205162238103,0.976
292,3,3.5443205162238103,2.133
293,3,3.5443205162238103,0.904
294,3,3.5443205162238103,1.455
295,3,3.5443205162238103,0.977
296,3,3.5443205162238103,1.239
297,3,3.5443205162238103,1.111
298,3,3.5443205162238103,1.363
299,3,3.5443205162238103,1.473
300,3,3.5443205162238103,1.101
