,norm,gamma
323,3.169925001442312,1.318
324,3.169925001442312,1.003
325,3.169925001442312,1.039
326,3.169925001442312,1.056
327,3.169925001442312,0.921
328,3.169925001442312,1.056
329,3.169925001442312,0.931
330,3.169925001442312,1.319
331,3.169925001442312,0.994
332,3.169925001442312,1.382
333,3.169925001442312,1.049
334,3.169925001442312,0.85
335,3.169925001442312,2.16
336,3.169925001442312,1.021
337,3.169925001442312,1.148
338,3.169925001442312,1.147
339,3.169925001442312,1.075
340,3.169925001442312,0.993
341,3.169925001442312,1.001
342,3.169925001442312,1.193
343,3.169925001442312,1.048
344,3.169925001442312,0.902
345,3.169925001442312,0.894
346,3.169925001442312,1.166
347,3.169925001442312,1.12
348,3.169925001442312,0.931
349,3.169925001442312,1.039
350,3.169925001442312,0.795
351,3.169925001442312,0.93
352,3.169925001442312,0.741
353,3.169925001442312,0.886
354,3.169925001442312,0.84
355,3.169925001442312,0.74
356,3.169925001442312,1.085
357,3.169925001442312,0.742
358,3.169925001442312,1.862
359,3.169925001442312,1.049
360,4.523561956057013,2.681
361,4.523561956057013,1.673
362,4.523561956057013,2.016
363,4.523561956057013,1.328
364,4.523561956057013,1.634
365,4.523561956057013,2.612
366,4.523561956057013,1.735
367,4.523561956057013,1.429
368,4.523561956057013,1.527
369,4.523561956057013,2.069
370,4.523561956057013,1.51
371,4.523561956057013,2.15
372,4.523561956057013,1.365
373,4.523561956057013,1.908
374,4.523561956057013,2.341
375,4.523561956057013,1.353
376,4.523561956057013,2.368
377,4.523561956057013,3.353
378,4.523561956057013,1.934
379,4.523561956057013,1.291
380,4.523561956057013,2.433
381,4.523561956057013,1.464
382,4.523561956057013,1.409
383,4.523561956057013,3.433
384,4.523561956057013,1.382
385,4.523561956057013,1.148
386,4.523561956057013,1.4
387,4.523561956057013,1.374
388,4.523561956057013,1.392
389,4.523561956057013,1.366
390,4.523561956057013,1.392
391,4.523561956057013,1.238
392,4.523561956057013,1.482
393,4.523561956057013,1.933
394,4.523561956057013,1.998
395,4.523561956057013,1.898
396,4.523561956057013,1.772
397,4.523561956057013,1.79
398,4.523561956057013,2.123
399,4.523561956057013,1.852
400,3.969626350956481,1.248
401,3.969626350956481,0.831
402,3.969626350956481,1.401
403,3.969626350956481,1.608
404,3.969626350956481,1.508
405,3.969626350956481,1.119
406,3.969626350956481,1.039
407,3.969626350956481,0.931
408,3.969626350956481,0.913
409,3.969626350956481,1.32
410,3.969626350956481,0.886
411,3.969626350956481,1.237
412,3.969626350956481,1.264
413,3.969626350956481,1.31
414,3.969626350956481,1.498
415,3.969626350956481,1.373
416,3.969626350956481,1.266
417,3.969626350956481,2.159
418,3.969626350956481,1.364
419,3.969626350956481,1.003
420,3.969626350956481,1.157
421,3.969626350956481,1.389
422,3.969626350956481,1.425
423,3.969626350956481,1.256
424,3.969626350956481,0.983
425,3.969626350956481,1.066
426,3.969626350956481,0.984
427,3.969626350956481,1.283
428,3.969626350956481,1.158
429,3.969626350956481,1.345
430,3.969626350956481,1.31
431,3.969626350956481,1.21
432,3.969626350956481,1.138
433,3.969626350956481,1.048
434,3.969626350956481,1.346
435,3.969626350956481,1.463
436,3.969626350956481,1.212
437,3.969626350956481,1.735
438,3.969626350956481,2.504
439,3.969626350956481,1.32
440,3.584962500721156,2.215
441,3.584962500721156,1.139
442,3.584962500721156,1.184
443,3.584962500721156,1.028
444,3.584962500721156,1.001
445,3.584962500721156,1.157
446,3.584962500721156,1.111
447,3.584962500721156,1.004
448,3.584962500721156,0.904
449,3.584962500721156,1.057
450,3.584962500721156,1.075
451,3.584962500721156,1.212
452,3.584962500721156,1.961
453,3.584962500721156,1.237
454,3.584962500721156,0.921
455,3.584962500721156,1.184
456,3.584962500721156,0.975
457,3.584962500721156,1.411
458,3.584962500721156,1.311
459,3.584962500721156,1.554
460,3.584962500721156,1.094
461,3.584962500721156,0.957
462,3.584962500721156,1.011
463,3.584962500721156,1.147
464,3.584962500721156,1.23
465,3.584962500721156,1.089
466,3.584962500721156,0.831
467,3.584962500721156,1.121
468,3.584962500721156,0.923
469,3.584962500721156,1.048
470,3.584962500721156,2.059
471,3.584962500721156,1.283
472,3.584962500721156,0.876
473,3.584962500721156,1.209
474,3.584962500721156,1.21
475,3.584962500721156,1.164
476,3.584962500721156,1.646
477,3.584962500721156,1.301
478,3.584962500721156,1.166
479,3.584962500721156,1.419
