participant,set,strategy,ID,IDe,MT,A,W
0,0,0,5.672425341971495,5.364903700427042,1.040527,400,8
0,0,0,5.672425341971495,5.364903700427042,1.200439,400,8
0,0,0,5.672425341971495,5.364903700427042,0.9064940999999999,400,8
0,0,0,5.672425341971495,5.364903700427042,0.9746094000000001,400,8
0,0,0,5.672425341971495,5.827016174112034,1.01416,400,8
0,0,0,5.672425341971495,5.827016174112034,1.213867,400,8
0,0,0,5.672425341971495,5.827016174112034,0.9460449000000001,400,8
0,0,0,5.672425341971495,5.827016174112034,1.174561,400,8
0,0,0,5.672425341971495,5.827016174112034,1.080566,400,8
0,0,0,5.672425341971495,5.827016174112034,1.213623,400,8
0,0,0,5.672425341971495,5.827016174112034,1.147461,400,8
0,0,0,5.672425341971495,5.827016174112034,1.1203610000000002,400,8
0,0,0,5.672425341971495,5.827016174112034,1.253418,400,8
0,0,0,5.672425341971495,5.827016174112034,1.054443,400,8
0,0,0,5.672425341971495,5.827016174112034,1.213135,400,8
0,0,0,5.672425341971495,5.827016174112034,0.9868164,400,8
0,0,0,5.672425341971495,5.827016174112034,1.26709,400,8
0,0,0,5.672425341971495,5.827016174112034,1.1608889999999998,400,8
0,0,0,5.672425341971495,5.827016174112034,1.159912,400,8
0,0,0,5.672425341971495,5.827016174112034,1.347412,400,8
0,0,0,5.672425341971495,5.827016174112034,0.9741211,400,8
0,0,0,5.672425341971495,5.827016174112034,1.013184,400,8
0,0,0,5.672425341971495,5.827016174112034,1.066406,400,8
0,0,0,5.672425341971495,5.827016174112034,1.000732,400,8
0,0,0,5.672425341971495,5.827016174112034,1.120117,400,8
0,0,0,5.672425341971495,5.827016174112034,0.987793,400,8
0,1,1,5.672425341971495,6.1606113368637265,1.173889,400,8
0,1,1,5.672425341971495,6.1606113368637265,1.706482,400,8
0,1,1,5.672425341971495,6.1606113368637265,1.414978,400,8
0,1,1,5.672425341971495,6.1606113368637265,1.2802120000000001,400,8
0,1,1,5.672425341971495,6.1606113368637265,1.347351,400,8
0,1,1,5.672425341971495,6.1606113368637265,1.253357,400,8
0,1,1,5.672425341971495,6.1606113368637265,1.373901,400,8
0,1,1,5.672425341971495,6.1606113368637265,1.400574,400,8
0,1,1,5.672425341971495,6.1606113368637265,1.333923,400,8
0,1,1,5.672425341971495,6.1606113368637265,1.387207,400,8
0,1,1,5.672425341971495,6.1606113368637265,1.293518,400,8
0,1,1,5.672425341971495,6.1606113368637265,1.54718,400,8
0,1,1,5.672425341971495,6.1606113368637265,1.387024,400,8
0,1,1,5.672425341971495,6.1606113368637265,1.347229,400,8
0,1,1,5.672425341971495,6.1606113368637265,1.2540280000000001,400,8
0,1,1,5.672425341971495,6.1606113368637265,1.360107,400,8
0,1,1,5.672425341971495,6.1606113368637265,1.266602,400,8
0,1,1,5.672425341971495,6.1606113368637265,1.187073,400,8
0,1,1,5.672425341971495,6.1606113368637265,1.33429,400,8
0,1,1,5.672425341971495,6.1606113368637265,1.4671020000000001,400,8
0,1,1,5.672425341971495,6.1606113368637265,1.7337650000000002,400,8
0,1,1,5.672425341971495,6.60310935233431,1.493408,400,8
0,1,1,5.672425341971495,6.60310935233431,1.627869,400,8
0,1,1,5.672425341971495,6.60310935233431,1.359802,400,8
0,1,1,5.672425341971495,6.60310935233431,1.493774,400,8
0,1,1,5.672425341971495,6.60310935233431,1.347107,400,8
0,1,1,5.672425341971495,6.60310935233431,1.1077270000000001,400,8
0,1,1,5.672425341971495,6.60310935233431,1.480591,400,8
0,1,1,5.672425341971495,6.60310935233431,1.146973,400,8
0,1,1,5.672425341971495,6.60310935233431,1.387207,400,8
0,1,1,5.672425341971495,6.60310935233431,1.093018,400,8
0,1,1,5.672425341971495,6.60310935233431,1.599792,400,8
0,1,1,5.672425341971495,6.60310935233431,1.335388,400,8
0,1,1,5.672425341971495,6.60310935233431,1.466919,400,8
